agency,sectors,project_types,total_records,top_code,top_code_count,second_code,second_code_count,third_code,third_code_count,fourth_code,fourth_code_count,discriminating_input
BLM,Land Development and Urban Planning; Water and Waste Management,Public and Recreational Land Use; Waste Management,279,516 DM 11.9,126,516 DM 11.9 H,35,516 DM 2,21,516 DM,20,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Water and Waste Management,Waste Management; Water Resources - Other,277,B1.3,189,B3.1,33,B2.5,6,B1.23,6,action_type: Operate/Maintain Existing → B1.3
BLM,Agriculture and Natural Resource Management,Rangeland Management,265,516 DM 11.9,118,516 DM 11.9 D,48,516 DM 11.9 D.1,19,"BLM NEPA Handbook 1790-1 Appendix 3 or Appendix 4,",11,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management,Agriculture; Ecosystem Management and Restoration; Rangeland Management,263,43 CFR 46.210,88,FLPMA 402(h),71,516 DM 11.9,48,516 DM 2,17,action_type: Operate/Maintain Existing → 43 CFR 46.210
BLM,Energy Production and Management,Conventional Energy Production - Land-based Oil & Gas,263,Energy Policy Act 2005 Sec.390 Cat.3,159,Energy Policy Act 2005 Sec.390,34,516 DM 11.9,29,Energy Policy Act 2005 Sec.390 Cat.2,15,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Miscellaneous and Emerging Technologies,Nuclear Technology; Research and Development,260,B3.6,185,B1.31,32,A1 + A9 + B3.6,8,B3.10,5,action_type: Operate/Maintain Existing → B3.6
DOE,Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Utilities (electricity, gas, telecommunications); Waste Management",258,B1.3,75,B4.6,32,B4.11,19,B1.19,14,action_type: Operate/Maintain Existing → B1.3
BLM,Energy Production and Management; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Electricity Transmission; Utilities (electricity, gas, telecommunications)",248,Energy Policy Act 2005 Sec.390(b)(4),57,Energy Policy Act 2005 Sec.390 Cat.1,56,516 DM 11.9,38,516 DM 6,28,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Land Development and Urban Planning; Water and Waste Management,Land Development - Other; Waste Management,235,B1.23,82,B1.3,53,B1.15,12,B1.35,12,action_type: Operate/Maintain Existing → B1.23
DOE,Water and Waste Management,Waste Management,225,B1.3,93,B6.1,28,B1.16,19,B1.24,16,action_type: Operate/Maintain Existing → B1.3
BLM,Energy Production and Management; Land Development and Urban Planning,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other,222,Energy Policy Act 2005 Sec.390,91,Energy Policy Act 2005 Sec.390 Cat.3,50,Energy Policy Act 2005 Sec.390 Cat.1,40,Energy Policy Act 2005 Sec.390 Cat.2,10,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Manufacturing; Research and Development; Waste Management,220,B3.6,79,A9 + B3.6,78,A9 + B3.15 + B3.6,9,A11 + A9 + B3.6,8,action_type: Operate/Maintain Existing → B3.6
BLM,Land Development and Urban Planning; Transportation and Infrastructure,Public and Recreational Land Use; Surface Transportation - Other,216,516 DM 11.9,87,516 DM 11.9 H,30,516 DM 2,22,516 DM,17,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Renewable Energy Production - Energy Storage; Research and Development; Waste Management,211,B3.6,85,A9 + B3.6,39,A9 + B3.6 + B5.1,11,A9,11,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies,Conventional Energy Production - Land-based Oil & Gas; Research and Development,211,B3.6,38,A9,30,A11 + A9 + B3.6,16,A11 + A9,15,action_type: Operate/Maintain Existing → B3.6
BLM,Land Development and Urban Planning; Transportation and Infrastructure,Land Development - Other; Public and Recreational Land Use; Surface Transportation - Other,209,516 DM 11.9,99,516 DM 11.9 E,23,516 DM 2,15,43 CFR 46.210,6,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Land Development and Urban Planning,Land Development - Other,209,B1.3,121,B1.15,46,B1.22,14,B1.11,4,action_type: Operate/Maintain Existing → B1.3
DOE,Miscellaneous and Emerging Technologies; Water and Waste Management,Nuclear Technology; Waste Management; Water Resources - Other,198,B1.3,73,B2.5,22,B3.1,16,B1.28,11,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies,Carbon Capture and Sequestration; Research and Development,198,B3.6,26,B3.1,25,A11 + A9,23,A1 + A11 + A9,13,action_type: Operate/Maintain Existing → B3.6
BLM,Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Waste Management; Water Resources - Other,182,Energy Policy Act 2005 Sec.390(b)(3),100,Energy Policy Act 2005 Sec.390,43,Energy Policy Act 2005 Sec.390(b)(2),15,Energy Policy Act 2005 Sec.390(b)(1),14,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Renewable Energy Production - Biomass; Research and Development; Waste Management,181,A9 + B3.6,56,B3.6,51,A9,12,A11 + A9,9,action_type: Operate/Maintain Existing → A9 + B3.6
BLM,Agriculture and Natural Resource Management,Agriculture; Ecosystem Management and Restoration; Land Use or Forest Management Plan; Rangeland Management,178,FLPMA 402(h),79,43 CFR 46.210,46,516 DM 11.9,23,516 DM 11.9 D,13,action_type: Operate/Maintain Existing → FLPMA 402(h)
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Water and Waste Management,Ecosystem Management and Restoration; Public and Recreational Land Use; Waste Management,174,516 DM 11.9,74,516 DM 2,13,516 DM 11.9 H,10,43 CFR 46.210,8,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Transportation and Infrastructure,"Broadband; Electricity Transmission; Utilities (electricity, gas, telecommunications)",169,B4.7,57,B1.19,41,B4.9,17,B1.3,7,action_type: Operate/Maintain Existing → B4.7
BLM,Energy Production and Management; Land Development and Urban Planning; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Waste Management,159,Energy Policy Act 2005 Sec.390(b)(3),50,Energy Policy Act 2005 Sec.390,32,Energy Policy Act 2005 Sec.390 Cat.3,19,Energy Policy Act 2005 Sec.390(b)(1),15,action_type: Operate/Maintain Existing → Energy Policy Act 2005 Sec.390(b)(3)
DOE,Transportation and Infrastructure; Water and Waste Management,"Utilities (electricity, gas, telecommunications); Waste Management; Water Resources - Other",158,B1.3,64,B5.1,19,B2.5 + B5.1,8,B2.1,7,action_type: Operate/Maintain Existing → B1.3
DOE,Miscellaneous and Emerging Technologies; Water and Waste Management,Research and Development; Waste Management; Water Resources - Other,158,B3.6,53,B3.1,43,A9 + B3.6,13,A11 + A9 + B3.6,7,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies,Conventional Energy Production - Other; Manufacturing; Research and Development,155,B3.6,76,A11 + A9 + B3.6,15,A9 + B3.6,11,A9 + B3.15 + B3.6,9,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Manufacturing; Renewable Energy Production - Solar; Research and Development; Waste Management,154,A9 + B3.6,60,B3.6,30,A9 + B3.15 + B3.6,16,A9 + B3.6 + B5.15,6,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,"Nuclear Technology; Utilities (electricity, gas, telecommunications); Waste Management",153,B1.3,44,B2.2,26,B1.28,12,B2.5,12,action_type: Operate/Maintain Existing → B1.3
BLM,Agriculture and Natural Resource Management; Transportation and Infrastructure,"Electricity Transmission; Land Use or Forest Management Plan; Utilities (electricity, gas, telecommunications)",150,516 DM 11.9,69,516 DM 11.9 E,26,516 DM 2,10,516 DM 11.9.E,8,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Manufacturing; Nuclear Technology; Research and Development; Waste Management,150,B3.6,102,B1.31,17,B3.10 + B3.6,4,B1.31 + B3.6,3,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Renewable Energy Production - Solar; Research and Development; Waste Management,149,A9 + B3.6,48,B3.6,14,A9 + B3.15 + B3.6,10,B3.6 + B5.15,8,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Manufacturing; Renewable Energy Production - Energy Storage; Research and Development; Waste Management,149,B3.6,54,A9 + B3.6,29,A9 + B3.15 + B3.6,15,B3.15 + B3.6,9,action_type: Operate/Maintain Existing → B3.6
BLM,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Public and Recreational Land Use; Surface Transportation - Other; Waste Management,148,516 DM 11.9,74,516 DM 11.9 H,18,43 CFR 46.210,17,516 DM,6,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Environmental Policy and Regulation; Transportation and Infrastructure,"Electricity Transmission; Laws, Policies, Regulations, and Guidance; Utilities (electricity, gas, telecommunications)",144,B4.2,90,B4.3,15,A11 + A9,6,B4.3 + B4.4,6,action_type: Operate/Maintain Existing → B4.2
DOE,Miscellaneous and Emerging Technologies; Water and Waste Management,Research and Development; Waste Management,137,B3.6,108,A9 + B3.6,6,B3.1,3,B3.11,2,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Renewable Energy Production - Other; Research and Development; Waste Management,132,B3.6,48,A9 + B3.6,19,A11 + A9 + B3.6,11,A9,9,action_type: Operate/Maintain Existing → B3.6
DOE,Transportation and Infrastructure; Water and Waste Management,"Utilities (electricity, gas, telecommunications); Water Resources - Other",128,B1.3,65,B2.1,6,B2.5 + B5.1,6,B1.31,5,action_type: Operate/Maintain Existing → B1.3
BLM,Land Development and Urban Planning,Land Development - Other; Public and Recreational Land Use,127,516 DM 11.9,40,516 DM 11.5,18,516 DM 11.9.E.19,14,43 CFR 46.210,13,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Transportation and Infrastructure; Water and Waste Management,"Utilities (electricity, gas, telecommunications); Waste Management",124,B1.3,54,B1.17,7,B2.2,6,B2.1,6,action_type: Operate/Maintain Existing → B1.3
DOE,Miscellaneous and Emerging Technologies; Water and Waste Management,Nuclear Technology; Research and Development; Waste Management; Water Resources - Other,123,B3.6,68,B3.1,20,B1.31,5,B3.11,2,action_type: Operate/Maintain Existing → B3.6
BLM,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Pipelines; Water Resources - Irrigation and Water Supply,120,516 DM 11.9,50,Energy Policy Act 2005 Sec.390(b)(4),30,516 DM 6,14,Energy Policy Act 2005 Sec.390 Cat.4,7,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Water and Waste Management,Land Development - Other; Nuclear Technology; Waste Management,118,B1.23,44,B1.15,20,B1.3,9,B6.10,4,action_type: Operate/Maintain Existing → B1.23
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Conventional Energy Production - Nuclear; Nuclear Technology; Research and Development; Waste Management,117,B3.6,84,A9 + B3.15 + B3.6,6,B3.10 + B3.6,6,B1.31,4,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Carbon Capture and Sequestration; Manufacturing; Research and Development; Waste Management,116,A11 + A9 + B3.6,26,A9 + B3.6,15,A1 + A11 + A9 + B3.6,12,B3.6,11,action_type: Operate/Maintain Existing → A11 + A9 + B3.6
BLM,Transportation and Infrastructure,"Utilities (electricity, gas, telecommunications)",114,516 DM 11.9,65,516 DM,9,516 DM 11.9 E,8,516 DM 2,4,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Transportation and Infrastructure,"Broadband; Utilities (electricity, gas, telecommunications)",114,B1.3,39,B1.19,30,B1.7,18,B4.7,9,action_type: Operate/Maintain Existing → B1.3
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Transportation and Infrastructure,Land Use or Forest Management Plan; Public and Recreational Land Use; Surface Transportation - Other,111,516 DM 11.9,49,516 DM 2,12,516 DM 11.9 E,11,43 CFR 46.210,7,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Transportation and Infrastructure,Electricity Transmission,111,B1.3,71,B4.6,12,B4.2,6,B1.3 + B4.6,3,action_type: Operate/Maintain Existing → B1.3
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Manufacturing; Nuclear Technology; Waste Management,111,B1.3,51,B1.31,25,B2.5,9,B3.6,5,action_type: Operate/Maintain Existing → B1.3
DOE,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Land Development - Other; Utilities (electricity, gas, telecommunications); Waste Management",108,B1.23,17,B1.3,16,B1.15,12,B2.1,10,action_type: Operate/Maintain Existing → B1.23
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Renewable Energy Production - Geothermal; Research and Development; Waste Management,106,A9 + B3.1,26,A9 + B3.6,18,A9,10,A9 + B3.1 + B5.1,3,action_type: Operate/Maintain Existing → A9 + B3.1
BLM,Environmental Policy and Regulation; Land Development and Urban Planning; Transportation and Infrastructure,"Land Development - Other; Laws, Policies, Regulations, and Guidance; Surface Transportation - Other",104,516 DM 11.9,41,516 DM 11.9 E,14,516 DM 11.9.E,8,516 DM,5,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Agriculture and Natural Resource Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Ecosystem Management and Restoration; Research and Development; Threatened and Endangered Species Management; Water Resources - Other,103,B3.3,76,B1.20 + B3.3,8,B1.20,6,B3.1,3,action_type: Operate/Maintain Existing → B3.3
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies,Manufacturing; Renewable Energy Production - Energy Storage; Research and Development,103,B3.6,50,A9 + B3.6,21,A9 + B3.15 + B3.6,6,A9 + B3.6 + B5.1,6,action_type: Operate/Maintain Existing → B3.6
BLM,Land Development and Urban Planning; Transportation and Infrastructure,"Land Development - Other; Utilities (electricity, gas, telecommunications)",99,516 DM 11.9,65,516 DM 11.9 E,7,43 CFR 46.210,4,516 DM 2,4,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Pipelines; Waste Management; Water Resources - Other,97,Energy Policy Act 2005 Sec.390 Cat.3,28,Energy Policy Act 2005 Sec.390(b)(3),22,Energy Policy Act 2005 Sec.390,21,Energy Policy Act 2005 Sec.390(b)(1),8,action_type: Operate/Maintain Existing → Energy Policy Act 2005 Sec.390 Cat.3
DOE,Agriculture and Natural Resource Management; Water and Waste Management,Ecosystem Management and Restoration; Waste Management; Water Resources - Other,96,B3.1,34,B6.1,25,B1.3,7,B6.9,3,action_type: Operate/Maintain Existing → B3.1
DOE,Miscellaneous and Emerging Technologies; Water and Waste Management,Routine Maintenance; Waste Management,95,B1.3,73,B1.16,3,A8,3,B1.23 + B2.1 + B2.5,2,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Manufacturing; Renewable Energy Production - Biomass; Research and Development; Waste Management,94,A9 + B3.6,46,B3.6,21,A9 + B3.6 + B5.15,7,A11 + A9 + B3.6,3,action_type: Operate/Maintain Existing → A9 + B3.6
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Utilities (electricity, gas, telecommunications)",93,Energy Policy Act 2005 Sec.390 Cat.3,46,Energy Policy Act 2005 Sec.390 Cat.1,14,Energy Policy Act 2005 Sec.390,9,516 DM 11.9,7,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Land Development and Urban Planning; Water and Waste Management,Land Development - Other; Public and Recreational Land Use; Waste Management,92,516 DM 11.9,39,516 DM 2,11,43 CFR 46.210,10,516 DM 11.9 E,3,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure,Manufacturing; Research and Development; Surface Transportation - Other,90,B3.6,23,A9 + B3.6,12,A9 + B3.6 + B5.1,9,B3.6 + B5.1,8,action_type: Operate/Maintain Existing → B3.6
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Research and Development; Waste Management,89,B3.6,14,B3.1,7,A1 + A11 + A9 + B3.6,6,A9 + B3.6,6,action_type: Operate/Maintain Existing → B3.6
BLM,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Pipelines; Water Resources - Other,87,516 DM 11.9,18,Energy Policy Act 2005 Sec.390 Cat.1,17,Energy Policy Act 2005 Sec.390(b)(4),11,516 DM 6,10,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning,"Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use",86,516 DM 11.9,36,516 DM 11.9 H,11,516 DM,11,516 DM 2,7,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Water and Waste Management,Ecosystem Management and Restoration; Land Use or Forest Management Plan; Vegetation and Fuels Management; Waste Management,86,516 DM 11.9,36,516 DM 11.9.C,12,516 DM 11.9 C,9,516 DM 2,5,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies,Conventional Energy Production - Other; Research and Development,86,B3.6,41,A11 + A9 + B3.6,11,A9 + B3.6,6,A1 + A11 + A9 + B3.6,6,action_type: Operate/Maintain Existing → B3.6
DOE,Transportation and Infrastructure,"Electricity Transmission; Surface Transportation - Other; Utilities (electricity, gas, telecommunications)",86,B1.3,55,B5.23,6,B5.1,5,B1.23,2,action_type: Operate/Maintain Existing → B1.3
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management,Manufacturing; Research and Development; Semiconductors,86,B3.6,60,A9 + B3.6,16,B3.15 + B3.6,3,A11 + A9 + B3.6,2,action_type: Operate/Maintain Existing → B3.6
DOE,Materials and Manufacturing,Manufacturing,86,B1.31,30,B1.3,20,B3.6,15,B1.15,3,action_type: Operate/Maintain Existing → B1.31
BLM,Materials and Manufacturing,Mining - Non-Metallic Minerals,85,516 DM 11.9,37,43 CFR 46.210,14,516 DM 2,9,"BLM NEPA Handbook 1790-1, Appendix 4, F. Solid Min",4,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies,Manufacturing; Nuclear Technology; Research and Development,85,B3.6,48,B1.31,11,B1.3,5,A9 + B3.6,5,action_type: Operate/Maintain Existing → B3.6
BLM,Agriculture and Natural Resource Management; Land Development and Urban Planning; Water and Waste Management,Ecosystem Management and Restoration; Public and Recreational Land Use; Threatened and Endangered Species Management; Waste Management,83,516 DM 11.9,48,516 DM 11.9 J,7,516 DM 2,4,516 DM 11,2,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Environmental Policy and Regulation,"Agriculture; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Rangeland Management",82,516 DM 11.9,32,FLPMA 402(h),9,516 DM 11.5.D,9,516 DM 2,8,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Transportation and Infrastructure,Surface Transportation - Other,82,B1.3,52,B1.32,7,A1,7,A7,3,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies,Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Research and Development,81,B3.1,13,B3.6,8,A1 + A11 + A9,5,A9,4,action_type: Operate/Maintain Existing → B3.1
BLM,Transportation and Infrastructure,"Broadband; Electricity Transmission; Utilities (electricity, gas, telecommunications)",79,516 DM 11.9,48,516 DM 11.9 E,7,516 DM 2,6,516 DM 11.9 A,3,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,Land Development - Other; Pipelines; Water Resources - Irrigation and Water Supply,79,516 DM 11.9,35,516 DM 6,9,516 DM 11.9 E,7,516 DM 11,6,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Water and Waste Management,Manufacturing; Renewable Energy Production - Other; Research and Development; Waste Management,79,A9 + B3.6,25,B3.6,18,A9 + B3.15 + B3.6,11,A1 + A11 + A9 + B3.6,4,action_type: Operate/Maintain Existing → A9 + B3.6
DOE,Land Development and Urban Planning; Water and Waste Management,Land Development - Other; Waste Management; Water Resources - Other,78,B1.3,22,B1.23,7,B1.15,6,B2.1,5,action_type: Operate/Maintain Existing → B1.3
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Carbon Capture and Sequestration; Conventional Energy Production - Coal; Research and Development; Waste Management,76,B3.6,21,A9,9,A9 + B3.6,7,A11 + A9 + B3.6,7,action_type: Operate/Maintain Existing → B3.6
