ce_code_normalized,authority_cfr,plain_language_description,record_count_in_nepatec,agencies,indoor_only,acreage_threshold,requires_gis_extraordinary_circumstances_check,applicable_sectors,applicable_project_types
516 DM 11,"516 DM 11, CXAP4_E9","516 DM 11, CXAP4_E9",595,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Conventional Energy Production - Rural Energy; Data Storage and Data Management; Ecosystem Man
B1.31,DOE 10 CFR 1021 App.B §B1.31,Minor construction or modification within existing facility footprint,568,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data M",Artificial Intelligence and Machine Learning; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Conventional Energy Production - Other; Conventional Energy Production - Rural Energy; Cybersecu
516 DM,516 DM 11.9,BLM CE — land use authorization on BLM-administered lands (sub-section not normalized),560,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Conventional Energy Production - Rural Energy; Ecosystem Management and Restoration; Electrici
516 DM 6,"516 DM 6, Appendix5, (5.4) (E) (19) ""Issuance of short-term (3 years or less) ri","516 DM 6, Appendix5, (5.4) (E) (19) ""Issuance of short-term (3 years or less) rights-of-way or land use authorizations .",544,BLM; DOE; Other,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Rural Energy; Ecosystem Mana
B1.15,DOE 10 CFR 1021 App.B §B1.15,Construction/expansion of structure within or contiguous to existing developed area,537,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Conventional Energy Production - Other; Cybersecurity; Data Storage and Data Manage
FLPMA 402(h),FLPMA §402(h)(1),"BLM CE for routine administration of grazing permits, allotment management plans",521,BLM,No,,Yes,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastr,"Agriculture; Broadband; Ecosystem Management and Restoration; Electricity Transmission; Habitat Conservation Plan; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Mining - Metals; Mining - Non-"
A11 + A9 + B3.6,"A9, A11, B3.6","A9, A11, B3.6",512,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Convention
Energy Policy Act 2005 Sec.390(b)(3),Energy Policy Act 2005 §390(b)(3),Drilling oil/gas well in developed field,510,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Transportation and Infrastructure; Water and Waste Management,"Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Pipelines; Rangeland Manag"
Energy Policy Act 2005 Sec.390 Cat.1,Energy Policy Act 2005 §390(b)(1),Individual surface disturbance < 5 acres; ≤150 acres total disturbed on lease,478,BLM,No,5 acres surface disturbance,Yes,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Military, Defense, and Emergency Response; Transportation and Infrastructure; Water and Waste Management",Aviation - Airports and Air Traffic; Broadband; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Development - Other; Land Development - Urban
516 DM 11.9 H,"516 DM 11.9 H(1), Issuance of Special Recreation Permits for day use or overnigh","516 DM 11.9 H(1), Issuance of Special Recreation Permits for day use or overnight use up to 14 consecutive nights; that ",403,BLM,No,,No,"Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Wa","Agriculture; Aviation - Airports and Air Traffic; Aviation - Commercial Space; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Development - Other; Land Use or Forest Management Plan; Laws, Polici"
A11 + A9 + B5.1,"A9, A11, B5.1","A9, A11, B5.1",403,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Managem,Agriculture; Artificial Intelligence and Machine Learning; Aviation - Airports and Air Traffic; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Conventional Energy Production - Rural Energy; Cybersecurit
516 DM 11.5,"516 DM 11.5(E) 19, issuance of short-term (3 years or less) rights-of-way or lan","516 DM 11.5(E) 19, issuance of short-term (3 years or less) rights-of-way or land use authorizations...where the proposa",356,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Housing; La
B2.5,DOE 10 CFR 1021 App.B §B2.5,Demolition/disposal of structures or facilities,353,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Aviation - Airports and Air Traffic; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Conventional Energy Production - Other; Cybersecurity; Data Storage and Data Management; Ecosystem Manage
B1.20,DOE 10 CFR 1021 App.B §B1.20,Relocation of utilities within existing ROW,335,DOE; Other,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Manag,"Agriculture; Ecosystem Management and Restoration; Electricity Transmission; Habitat Conservation Plan; Land Development - Housing; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Nuclear Techn"
B4.6,DOE 10 CFR 1021 App.B §B4.6,Additions/modifications to existing transmission facilities; no new ROW,316,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Broadband; Conventional Energy Production - Other; Cybersecurity; Data Storage and Data Management; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Development - Housing; Land Develop
516 DM 11.9 A,"516 DM 11.9 A. (1), Modification of existing fences to provide improved wildlife","516 DM 11.9 A. (1), Modification of existing fences to provide improved wildlife ingress and egress.",311,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Conventional Energy Production - Rural Energy; Ecosystem Man
B1.23,DOE 10 CFR 1021 App.B §B1.23,New facilities for storage of materials with established disposal pathway,279,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Data Storage and Data Management; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disa
B2.2,DOE 10 CFR 1021 App.B §B2.2,Routine sampling and characterization activities,278,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Conventional Energy Production - Other; Cybersecurity; Data Storage and Data Management; Electricity Transmission; Emergency and Disaster Resp
A9 + B5.1,"A9, B5.1","A9, B5.1",275,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Aviation - Airports and Air Traffic; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Conventional E
A9 + B3.15 + B3.6,"A9, B3.6, B3.15","A9, B3.6, B3.15",260,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructur,Agriculture; Artificial Intelligence and Machine Learning; Aviation - Airports and Air Traffic; Aviation - Commercial Space; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Produ
B1.24,B1.24,B1.24,247,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Aviation - Commercial Space; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Cybersecurity; Data Storage and Data Management; Ecosystem Mana
A1 + A11 + A9 + B3.6,"A1, A9, A11, B3.6","A1, A9, A11, B3.6",245,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructur,Agriculture; Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Offshore Oil and Gas; Conventi
B1.19,B1.19,B1.19,244,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology an",Aviation - Airports and Air Traffic; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Cybersecurity; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Respo
516 DM 11.9.E,"516 DM 11.9.E (9), Renewals and assignments of leases, permits or rights-of-way ","516 DM 11.9.E (9), Renewals and assignments of leases, permits or rights-of-way where no additional rights are conveyed ",224,BLM; DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Rural Energy; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster 
B1.25,DOE 10 CFR 1021 App.B §B1.25,Grants and technical assistance for species/habitat conservation; no direct physical disturbance,222,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Water and Waste Management,"Agriculture; Carbon Capture and Sequestration; Ecosystem Management and Restoration; Habitat Conservation Plan; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Nuclear Technology; Public and Re"
B2.1,B2.1,B2.1,221,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data M",Broadband; Conventional Energy Production - Other; Cybersecurity; Data Storage and Data Management; Ecosystem Management and Restoration; Electricity Transmission; High Performance Computing and Advanced Computer Hardware and Software; Land Developme
A1 + A11 + A9,"A1,A9,A11","A1,A9,A11",213,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Conventional Energy P
Energy Policy Act 2005 Sec.390 Cat.4,"Section 390 of the Energy Policy Act of 2005 (P.L. 109-58), exclusion number 4, ","Section 390 of the Energy Policy Act of 2005 (P.L. 109-58), exclusion number 4, Placement in an approved right-of-way co",209,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Broadband; Conventional Energy Production - Land-based Oil & Gas; Data Storage and Data Management; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Pipelines; Routine Maint
B2.5 + B5.1,"B2.5, B5.1","B2.5, B5.1",203,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data M",Agriculture; Aviation - Airports and Air Traffic; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Conventional Energy Production - Rural Energy; Data Storage and Data Management; Electricity Transmission
516 DM 11.9 D,"516 DM 11.9 D. Rangeland Management 1, Approval of transfers of grazing preferen","516 DM 11.9 D. Rangeland Management 1, Approval of transfers of grazing preference.",197,BLM,No,,No,"Agriculture and Natural Resource Management; Environmental Policy and Regulation; Land Development and Urban Planning; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation ","Agriculture; Data Storage and Data Management; Ecosystem Management and Restoration; Emergency and Disaster Response; Habitat Conservation Plan; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; "
B6.1,DOE 10 CFR 1021 App.B §B6.1,Transfer of real property to another federal agency; no change in use,191,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin","Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Laws, Policies, Regulations, "
B4.11,DOE 10 CFR 1021 App.B §B4.11,New transmission line < 20 miles in existing ROW or disturbed corridor,187,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data M",Agriculture; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Conventional Energy Production - Other; Conventional Energy Production - Rural Energy; Cybersecurity; Ecosystem Management and Re
B4.9,DOE 10 CFR 1021 App.B §B4.9,Construction of access roads in previously disturbed areas,175,DOE; Other,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Broadband; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Habitat Conservation Plan; Land Development - Housing; Land Development - 
A9 + B3.6 + B5.1 + B5.23,"A9, B3.6, B5.1, B5.23","A9, B3.6, B5.1, B5.23",174,DOE,No,,No,Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure; Water and Waste Management,Artificial Intelligence and Machine Learning; Conventional Energy Production - Rural Energy; Cybersecurity; Electricity Transmission; Land Development - Other; Land Development - Urban; Manufacturing; Public and Recreational Land Use; Renewable Energ
A9 + B3.1,"A9, B3.1","A9, B3.1",168,DOE; Other,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Conventional Energy P
36 CFR 220.6,36 CFR 220.6,USFS CE for routine forest management activities on National Forest System lands,165,BLM; Other,Yes,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Broadband; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Emergency and Disaster Response; Land Development - Housing; Land De
516 DM 11.9E,"516 DM 11.9E (9), (9) Renewals and assignments of leases, permits, or rights-of-","516 DM 11.9E (9), (9) Renewals and assignments of leases, permits, or rights-of-way where no additional rights are conve",158,BLM,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Conventional Energy P
B4.2,DOE 10 CFR 1021 App.B §B4.2,Upgrading/rebuilding transmission lines within existing ROW,158,DOE,No,,No,Energy Production and Management; Environmental Policy and Regulation; Transportation and Infrastructure; Water and Waste Management,"Electricity Transmission; Laws, Policies, Regulations, and Guidance; Renewable Energy Production - Energy Storage; Utilities (electricity, gas, telecommunications); Waste Management"
B3.3,DOE 10 CFR 1021 App.B §B3.3,"Ecological, geological, hydrological field studies with no physical disturbance",158,DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infra,"Agriculture; Data Storage and Data Management; Ecosystem Management and Restoration; Habitat Conservation Plan; Land Use or Forest Management Plan; Laws, Policies, Regulations, and Guidance; Public and Recreational Land Use; Rangeland Management; Ren"
B1.7,B1.7,B1.7,154,DOE,No,,No,"Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emerging Technologies; Technology and Data Management; Transportation and Infrastructure;",Artificial Intelligence and Machine Learning; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Cybersecurity; Data Storage and Data Management; Electricity Transmission; High Performance Comp
